Отдел;Модель Adeo;Артикул;url_lm;url_bitrix_step
10;MOD_201851;14798551;https://leroymerlin.ru/product/anker-klin-omah-6h40-mm-14798551/;https://step-preprod.lm.greensight.ru/product/anker-klin-omah-6h40-mm-14798551/
10;MOD_201853;16965481;https://leroymerlin.ru/product/anker-klin-omah-6h40-mm-14798551/;https://step-preprod.lm.greensight.ru/product/anker-klin-omah-6h40-mm-14798551/
10;MOD_202000;12322402;https://leroymerlin.ru/product/ankernyy-bolt-s-kolcom-8h45-mm-12322402/;https://step-preprod.lm.greensight.ru/product/ankernyy-bolt-s-kolcom-8h45-mm-12322402/
10;MOD_202019;12212553;https://leroymerlin.ru/product/anker-potolochnyy-6h60-mm-12212553/;https://step-preprod.lm.greensight.ru/product/anker-potolochnyy-6h60-mm-12212553/
10;MOD_201851;10126459;https://leroymerlin.ru/product/anker-r12-sormat-pfg-s-petley-10126459/;https://step-preprod.lm.greensight.ru/product/anker-r12-sormat-pfg-s-petley-10126459/
10;MOD_201892;18180636;https://leroymerlin.ru/product/aptechka-18180636/;https://step-preprod.lm.greensight.ru/product/aptechka-18180636/
10;MOD_201887;13696123;https://leroymerlin.ru/product/balyasina-s-15h900h190-mm-13696123/;https://step-preprod.lm.greensight.ru/product/balyasina-s-15h900h190-mm-13696123/
10;MOD_202023;17559521;https://leroymerlin.ru/product/blok-dlya-trosa-odinarnyy-standers-25-mm-17559521/;https://step-preprod.lm.greensight.ru/product/blok-dlya-trosa-odinarnyy-standers-25-mm-17559521/
10;MOD_202023;17559564;https://leroymerlin.ru/product/blok-standers-30-mm-s-neylonovym-rolikom-nikelirovannyy-17559564/;https://step-preprod.lm.greensight.ru/product/blok-standers-30-mm-s-neylonovym-rolikom-nikelirovannyy-17559564/
10;MOD_201904;12202267;https://leroymerlin.ru/product/braslet-svetootrazhayushchiy-12202267/;https://step-preprod.lm.greensight.ru/product/braslet-svetootrazhayushchiy-12202267/
10;MOD_201916;11462198;https://leroymerlin.ru/product/bronenakladka-kale-cvet-latun-11462198/;https://step-preprod.lm.greensight.ru/product/bronenakladka-kale-cvet-latun-11462198/
10;MOD_201916;11462200;https://leroymerlin.ru/product/bronenakladka-kale-cvet-nikel-11462200/;https://step-preprod.lm.greensight.ru/product/bronenakladka-kale-cvet-nikel-11462200/
10;MOD_202028;15965323;https://leroymerlin.ru/product/cep-din-763-3-mm-dlinnoe-zveno-3-m-stal-ocinkovannaya-15965323/;https://step-preprod.lm.greensight.ru/product/cep-din-763-3-mm-dlinnoe-zveno-3-m-stal-ocinkovannaya-15965323/
10;MOD_202028;15965391;https://leroymerlin.ru/product/cep-din-763-5-mm-dlinnoe-zveno-5-m-stal-ocinkovannaya-15965391/;https://step-preprod.lm.greensight.ru/product/cep-din-763-5-mm-dlinnoe-zveno-5-m-stal-ocinkovannaya-15965391/
10;MOD_201946;13461084;https://leroymerlin.ru/product/cepochki-dvernye-60h110-mm-cvet-hrom-13461084/;https://step-preprod.lm.greensight.ru/product/cepochki-dvernye-60h110-mm-cvet-hrom-13461084/
10;MOD_201946;13461201;https://leroymerlin.ru/product/cepochki-dvernye-60h110-mm-cvet-nikel-13461201/;https://step-preprod.lm.greensight.ru/product/cepochki-dvernye-60h110-mm-cvet-nikel-13461201/
10;MOD_201848;13603724;https://leroymerlin.ru/product/cifra-3-samokleyashchayasya-40h32-mm-plastik-cvet-matovoe-serebro-13603724/;https://step-preprod.lm.greensight.ru/product/cifra-3-samokleyashchayasya-40h32-mm-plastik-cvet-matovoe-serebro-13603724/
10;MOD_201848;13603951;https://leroymerlin.ru/product/cifra-8-samokleyashchayasya-40h32-mm-plastik-cvet-matovoe-zoloto-13603951/;https://step-preprod.lm.greensight.ru/product/cifra-8-samokleyashchayasya-40h32-mm-plastik-cvet-matovoe-zoloto-13603951/
10;MOD_201915;14674305;https://leroymerlin.ru/product/cilindr-e-60-10-100-14674305/;https://step-preprod.lm.greensight.ru/product/cilindr-e-60-10-100-14674305/
10;MOD_201915;14674313;https://leroymerlin.ru/product/cilindr-e-60-t01-10-100-14674313/;https://step-preprod.lm.greensight.ru/product/cilindr-e-60-t01-10-100-14674313/
10;MOD_201960;12596892;https://leroymerlin.ru/product/dempfer-razbornyy-12-mm-plastik-cvet-seryy-12596892/;https://step-preprod.lm.greensight.ru/product/dempfer-razbornyy-12-mm-plastik-cvet-seryy-12596892/
10;MOD_201960;12596825;https://leroymerlin.ru/product/dempfer-vreznoy-9-mm-plastik-cvet-belyy-12596825/;https://step-preprod.lm.greensight.ru/product/dempfer-vreznoy-9-mm-plastik-cvet-belyy-12596825/
10;MOD_201952;14250131;https://leroymerlin.ru/product/derzhatel-magnitnyy-boyard-mh01-w-14250131/;https://step-preprod.lm.greensight.ru/product/derzhatel-magnitnyy-boyard-mh01-w-14250131/
10;MOD_201880;10175867;https://leroymerlin.ru/product/dovodchik-1060-10175867/;https://step-preprod.lm.greensight.ru/product/dovodchik-1060-10175867/
10;MOD_201880;13002072;https://leroymerlin.ru/product/dovodchik-morozostoykiy-ly4-13002072/;https://step-preprod.lm.greensight.ru/product/dovodchik-morozostoykiy-ly4-13002072/
10;MOD_202017;12470018;https://leroymerlin.ru/product/dyubel-dlya-gipsokartona-fischer-pd-27h12-mm-s-shurupom-neylon-ocinkovannaya-stal-4-sht-12470018/;https://step-preprod.lm.greensight.ru/product/dyubel-dlya-gipsokartona-fischer-pd-27h12-mm-s-shurupom-neylon-ocinkovannaya-stal-4-sht-12470018/
10;MOD_202017;12469949;https://leroymerlin.ru/product/dyubel-dlya-gipsokartona-fischer-pd-s-shurupom-8h29-mm-neylon-ocinkovannaya-stal-5-sht-12469949/;https://step-preprod.lm.greensight.ru/product/dyubel-dlya-gipsokartona-fischer-pd-s-shurupom-8h29-mm-neylon-ocinkovannaya-stal-5-sht-12469949/
10;MOD_202012;12469762;https://leroymerlin.ru/product/dyubel-dlya-polnotelyh-materialov-fischer-sx-s-pryamym-kryukom-6x30-mm-neylon-ocinkovannaya-stal-8-sht-12469762/;https://step-preprod.lm.greensight.ru/product/dyubel-dlya-polnotelyh-materialov-fischer-sx-s-pryamym-kryukom-6x30-mm-neylon-ocinkovannaya-stal-8-sht-12469762/
10;MOD_202012;12469711;https://leroymerlin.ru/product/dyubel-dlya-polnotelyh-materialov-fischer-sx-s-pryamym-kryukom-6x30-mm-neylon-ocinkovannaya-stal-8-sht-12469762/;https://step-preprod.lm.greensight.ru/product/dyubel-dlya-polnotelyh-materialov-fischer-sx-s-pryamym-kryukom-6x30-mm-neylon-ocinkovannaya-stal-8-sht-12469762/
10;MOD_201454;12471504;https://leroymerlin.ru/product/dyubel-shurup-fischer-t-fur-fasadnyy-universalnyy-10x135-mm-neylon-ocinkovannaya-stal-12471504/;https://step-preprod.lm.greensight.ru/product/dyubel-shurup-fischer-t-fur-fasadnyy-universalnyy-10x135-mm-neylon-ocinkovannaya-stal-12471504/
10;MOD_202014;12462683;https://leroymerlin.ru/product/dyubel-univercalnyy-fischer-ux-s-shurupom-10x60-mm-neylon-ocinkovannaya-stal-4-sht-12462683/;https://step-preprod.lm.greensight.ru/product/dyubel-univercalnyy-fischer-ux-s-shurupom-10x60-mm-neylon-ocinkovannaya-stal-4-sht-12462683/
10;MOD_202014;12462675;https://leroymerlin.ru/product/dyubel-univercalnyy-fischer-ux-s-shurupom-8x50-mm-neylon-ocinkovannaya-stal-5-sht-12462675/;https://step-preprod.lm.greensight.ru/product/dyubel-univercalnyy-fischer-ux-s-shurupom-8x50-mm-neylon-ocinkovannaya-stal-5-sht-12462675/
10;MOD_200035;13642977;https://leroymerlin.ru/product/fiksator-dlya-armatury-kolco-13642977/;https://step-preprod.lm.greensight.ru/product/fiksator-dlya-armatury-kolco-13642977/
10;MOD_202006;10137633;https://leroymerlin.ru/product/gayka-samokontryashchayasya-din-985-m8-10137633/;https://step-preprod.lm.greensight.ru/product/gayka-samokontryashchayasya-din-985-m8-10137633/
10;MOD_202006;18064820;https://leroymerlin.ru/product/gayka-s-flancem-din-6923-m12-18064820/;https://step-preprod.lm.greensight.ru/product/gayka-s-flancem-din-6923-m12-18064820/
10;MOD_202021;15902381;https://leroymerlin.ru/product/gilza-inekcionnaya-fisher-hk-12x85mm-15902381/;https://step-preprod.lm.greensight.ru/product/gilza-inekcionnaya-fisher-hk-12x85mm-15902381/
10;MOD_201901;18123076;https://leroymerlin.ru/product/glazok-dvernoy-armadillo-dvg1-18123076/;https://step-preprod.lm.greensight.ru/product/glazok-dvernoy-armadillo-dvg1-18123076/
10;MOD_201901;18123164;https://leroymerlin.ru/product/glazok-dvernoy-fuaro-dvz1-18123164/;https://step-preprod.lm.greensight.ru/product/glazok-dvernoy-fuaro-dvz1-18123164/
10;MOD_201991;14652421;https://leroymerlin.ru/product/gvozd-finishnyy-latunirovannyy-1-4h45-14652421/;https://step-preprod.lm.greensight.ru/product/gvozd-finishnyy-latunirovannyy-1-4h45-14652421/
10;MOD_201991;14652456;https://leroymerlin.ru/product/gvozd-finishnyy-omednennyy-1-4h35-14652456/;https://step-preprod.lm.greensight.ru/product/gvozd-finishnyy-omednennyy-1-4h35-14652456/
10;MOD_200758;13854910;https://leroymerlin.ru/product/holodnaya-svarka-poxipol-matallicheskaya-blister-13854910/;https://step-preprod.lm.greensight.ru/product/holodnaya-svarka-poxipol-matallicheskaya-blister-13854910/
10;MOD_200758;13854902;https://leroymerlin.ru/product/holodnaya-svarka-poxipol-prozrachnaya-13854902/;https://step-preprod.lm.greensight.ru/product/holodnaya-svarka-poxipol-prozrachnaya-13854902/
10;MOD_202060;13513024;https://leroymerlin.ru/product/homut-s-krepleniem-na-shurup-1-1-4-45h45-mm-13513024/;https://step-preprod.lm.greensight.ru/product/homut-s-krepleniem-na-shurup-1-1-4-45h45-mm-13513024/
10;MOD_202060;13512929;https://leroymerlin.ru/product/homut-s-vintovym-krepleniem-1-35h35-mm-13512929/;https://step-preprod.lm.greensight.ru/product/homut-s-vintovym-krepleniem-1-35h35-mm-13512929/
10;MOD_202034;10116947;https://leroymerlin.ru/product/karabin-usilennyy-fixbox-din-5299-10116947/;https://step-preprod.lm.greensight.ru/product/karabin-usilennyy-fixbox-din-5299-10116947/
10;MOD_202034;11990089;https://leroymerlin.ru/product/karabin-wt-03-11990089/;https://step-preprod.lm.greensight.ru/product/karabin-wt-03-11990089/
10;MOD_201893;18180863;https://leroymerlin.ru/product/keshboks-18180863/;https://step-preprod.lm.greensight.ru/product/keshboks-18180863/
10;MOD_201893;18180871;https://leroymerlin.ru/product/keshboks-18180871/;https://step-preprod.lm.greensight.ru/product/keshboks-18180871/
10;MOD_201577;15031310;https://leroymerlin.ru/product/klyuch-zhidkiy-motip-v-blistere-15031310/;https://step-preprod.lm.greensight.ru/product/klyuch-zhidkiy-motip-v-blistere-15031310/
10;MOD_201977;15108031;https://leroymerlin.ru/product/koleso-amig-6200-15108031/;https://step-preprod.lm.greensight.ru/product/koleso-amig-6200-15108031/
10;MOD_201977;15108241;https://leroymerlin.ru/product/koleso-amig-6741-15108241/;https://step-preprod.lm.greensight.ru/product/koleso-amig-6741-15108241/
10;MOD_201994;16727301;https://leroymerlin.ru/product/komplekt-dlya-krepleniya-nozhek-samorez-shuc-4h12-mm-30-sht-16727301/;https://step-preprod.lm.greensight.ru/product/komplekt-dlya-krepleniya-nozhek-samorez-shuc-4h12-mm-30-sht-16727301/
10;MOD_201912;13715857;https://leroymerlin.ru/product/komplekt-ruchek-balkonnyh-levsha-s-zashchelkoy-13715857/;https://step-preprod.lm.greensight.ru/product/komplekt-ruchek-balkonnyh-levsha-s-zashchelkoy-13715857/
10;MOD_202041;17559695;https://leroymerlin.ru/product/koushi-standers-2-mm-17559695/;https://step-preprod.lm.greensight.ru/product/koushi-standers-2-mm-17559695/
10;MOD_202041;17561040;https://leroymerlin.ru/product/koushi-standers-3-mm-17561040/;https://step-preprod.lm.greensight.ru/product/koushi-standers-3-mm-17561040/
10;MOD_202011;10829904;https://leroymerlin.ru/product/krepezh-dlya-trub-404x104x42-4-mm-10829904/;https://step-preprod.lm.greensight.ru/product/krepezh-dlya-trub-404x104x42-4-mm-10829904/
10;MOD_202011;10829939;https://leroymerlin.ru/product/krepezh-dlya-trub-40h119h44-10829939/;https://step-preprod.lm.greensight.ru/product/krepezh-dlya-trub-40h119h44-10829939/
10;MOD_200190;15810698;https://leroymerlin.ru/product/kreplenie-dlya-moskitnoy-setki-metall-cvet-belyy-15810698/;https://step-preprod.lm.greensight.ru/product/kreplenie-dlya-moskitnoy-setki-metall-cvet-belyy-15810698/
10;MOD_200190;13119588;https://leroymerlin.ru/product/kreplenie-dlya-moskitnoy-setki-plastik-cvet-korichnevyy-13119588/;https://step-preprod.lm.greensight.ru/product/kreplenie-dlya-moskitnoy-setki-plastik-cvet-korichnevyy-13119588/
10;MOD_201883;13694478;https://leroymerlin.ru/product/kryshka-nizhnyaya-pod-trubu-30h105h105-mm-13694478/;https://step-preprod.lm.greensight.ru/product/kryshka-nizhnyaya-pod-trubu-30h105h105-mm-13694478/
10;MOD_201839;12221636;https://leroymerlin.ru/product/kryuchok-mebelnyy-k204cp-dvoynoy-12221636/;https://step-preprod.lm.greensight.ru/product/kryuchok-mebelnyy-k204cp-dvoynoy-12221636/
